#{"t_start": 1754431410.8431542, "env_id": "None"}
r,l,t
44.3,200,372.400451
42.8,200,372.748981
13.57,200,373.105978
46.3,200,373.518766
11.63,200,373.862764
44.4,200,374.205764
9.27,200,374.54629
58.9,200,374.908817
56.81,200,375.251813
1.27,200,375.632396
48.5,200,375.993971
36.96,200,376.360969
52.4,200,376.696492
46.4,200,377.050492
-47.69,200,377.388495
47.51,200,377.785246
58.5,200,378.125774
56.5,200,378.48477
62.8,200,378.830296
-114.54,200,379.194296
42.3,200,379.514356
41.06,200,379.869405
40.44,200,380.274757
38.31,200,380.643757
44.6,200,381.522757
4.17,200,381.836755
43.3,200,382.230034
41.82,200,382.576603
-102.51,200,382.918604
42.71,200,383.267604
42.32,200,383.605602
40.42,200,383.952605
35.23,200,384.297128
38.81,200,384.694485
42.11,200,385.045484
46.3,200,385.408489
33.54,200,385.750484
13.79,200,386.094485
-25.91,200,386.432485
23.4,200,386.818486
30.33,200,387.173486
39.71,200,387.568486
51.9,200,387.911484
47.0,200,388.264006
39.8,200,388.614005
-39.48,200,389.008352
47.3,200,389.501355
33.3,200,390.141882
41.46,200,390.701879
52.32,200,391.611142
44.9,200,391.956138
42.1,200,392.311673
39.38,200,392.663671
-71.36,200,393.00867
45.0,200,393.383474
36.02,200,393.735471
42.11,200,394.070469
38.2,200,394.41947
48.11,200,394.757472
-33.35,200,395.112471
-20.14,200,395.509473
36.36,200,395.851674
38.22,200,396.195675
43.0,200,396.548723
40.62,200,396.895722
46.0,200,397.254725
38.41,200,397.641723
39.21,200,398.052637
44.3,200,398.421638
43.8,200,398.757641
36.31,200,399.126639
33.5,200,399.531638
-133.48,200,399.887643
23.07,200,400.274791
51.9,200,401.226796
39.9,200,401.566792
-9.64,200,401.914789
40.71,200,402.309912
48.6,200,402.661912
31.0,200,403.013911
-19.89,200,403.363436
42.81,200,403.726435
0.46,200,404.084436
-56.94,200,404.475606
36.32,200,404.830193
-43.46,200,405.180192
40.7,200,405.544193
12.01,200,405.906256
38.12,200,406.276257
-13.39,200,406.665973
41.9,200,407.004501
42.61,200,407.355504
-38.77,200,407.684499
41.1,200,408.039501
40.01,200,408.391042
33.83,200,408.774568
36.71,200,409.133957
22.11,200,409.483484
40.8,200,409.807483
40.2,200,410.683486
41.61,200,411.066562
40.5,200,411.417562
5.08,200,411.766562
-33.07,200,412.136562
25.86,200,412.486561
